difficulty,rows,bucket_index,multiplier,payout_unit,source,notes
Expert,11,1,160.000000,x,authoritative_multiplier_table,mode=normal_expert_11
Expert,11,2,40.000000,x,authoritative_multiplier_table,mode=normal_expert_11
Expert,11,3,1.100000,x,authoritative_multiplier_table,mode=normal_expert_11
Expert,11,4,0.200000,x,authoritative_multiplier_table,mode=normal_expert_11
Expert,11,5,0.100000,x,authoritative_multiplier_table,mode=normal_expert_11
Expert,11,6,0.100000,x,authoritative_multiplier_table,mode=normal_expert_11
Expert,11,7,0.200000,x,authoritative_multiplier_table,mode=normal_expert_11
Expert,11,8,1.100000,x,authoritative_multiplier_table,mode=normal_expert_11
Expert,11,9,40.000000,x,authoritative_multiplier_table,mode=normal_expert_11
Expert,11,10,160.000000,x,authoritative_multiplier_table,mode=normal_expert_11
Expert,11,11,3200.000000,x,authoritative_multiplier_table,mode=normal_expert_11
Expert,12,0,6200.000000,x,authoritative_multiplier_table,mode=normal_expert_12
Expert,12,1,300.000000,x,authoritative_multiplier_table,mode=normal_expert_12
Expert,12,2,60.000000,x,authoritative_multiplier_table,mode=normal_expert_12
Expert,12,3,1.500000,x,authoritative_multiplier_table,mode=normal_expert_12
Expert,12,4,0.400000,x,authoritative_multiplier_table,mode=normal_expert_12
Expert,12,5,0.100000,x,authoritative_multiplier_table,mode=normal_expert_12
Expert,12,6,0.100000,x,authoritative_multiplier_table,mode=normal_expert_12
Expert,12,7,0.100000,x,authoritative_multiplier_table,mode=normal_expert_12
Expert,12,8,0.400000,x,authoritative_multiplier_table,mode=normal_expert_12
Expert,12,9,1.500000,x,authoritative_multiplier_table,mode=normal_expert_12
Expert,12,10,60.000000,x,authoritative_multiplier_table,mode=normal_expert_12
Expert,12,11,300.000000,x,authoritative_multiplier_table,mode=normal_expert_12
Expert,12,12,6200.000000,x,authoritative_multiplier_table,mode=normal_expert_12
Expert,13,0,10000.000000,x,authoritative_multiplier_table,mode=normal_expert_13
Expert,13,1,520.000000,x,authoritative_multiplier_table,mode=normal_expert_13
Expert,13,2,100.000000,x,authoritative_multiplier_table,mode=normal_expert_13
Expert,13,3,3.000000,x,authoritative_multiplier_table,mode=normal_expert_13
Expert,13,4,0.600000,x,authoritative_multiplier_table,mode=normal_expert_13
Expert,13,5,0.100000,x,authoritative_multiplier_table,mode=normal_expert_13
Expert,13,6,0.100000,x,authoritative_multiplier_table,mode=normal_expert_13
Expert,13,7,0.100000,x,authoritative_multiplier_table,mode=normal_expert_13
Expert,13,8,0.100000,x,authoritative_multiplier_table,mode=normal_expert_13
Expert,13,9,0.600000,x,authoritative_multiplier_table,mode=normal_expert_13
Expert,13,10,3.000000,x,authoritative_multiplier_table,mode=normal_expert_13
Expert,13,11,100.000000,x,authoritative_multiplier_table,mode=normal_expert_13
Expert,13,12,520.000000,x,authoritative_multiplier_table,mode=normal_expert_13
Expert,13,13,10000.000000,x,authoritative_multiplier_table,mode=normal_expert_13
Expert,14,0,25000.000000,x,authoritative_multiplier_table,mode=normal_expert_14
Expert,14,1,800.000000,x,authoritative_multiplier_table,mode=normal_expert_14
Expert,14,2,160.000000,x,authoritative_multiplier_table,mode=normal_expert_14
Expert,14,3,3.000000,x,authoritative_multiplier_table,mode=normal_expert_14
Expert,14,4,1.200000,x,authoritative_multiplier_table,mode=normal_expert_14
Expert,14,5,0.200000,x,authoritative_multiplier_table,mode=normal_expert_14
Expert,14,6,0.100000,x,authoritative_multiplier_table,mode=normal_expert_14
Expert,14,7,0.100000,x,authoritative_multiplier_table,mode=normal_expert_14
Expert,14,8,0.100000,x,authoritative_multiplier_table,mode=normal_expert_14
Expert,14,9,0.200000,x,authoritative_multiplier_table,mode=normal_expert_14
Expert,14,10,1.200000,x,authoritative_multiplier_table,mode=normal_expert_14
Expert,14,11,3.000000,x,authoritative_multiplier_table,mode=normal_expert_14
Expert,14,12,160.000000,x,authoritative_multiplier_table,mode=normal_expert_14
Expert,14,13,800.000000,x,authoritative_multiplier_table,mode=normal_expert_14
Expert,14,14,25000.000000,x,authoritative_multiplier_table,mode=normal_expert_14
Expert,15,0,50000.000000,x,authoritative_multiplier_table,mode=normal_expert_15
Expert,15,1,1300.000000,x,authoritative_multiplier_table,mode=normal_expert_15
Expert,15,2,230.000000,x,authoritative_multiplier_table,mode=normal_expert_15
Expert,15,3,6.000000,x,authoritative_multiplier_table,mode=normal_expert_15
Expert,15,4,1.800000,x,authoritative_multiplier_table,mode=normal_expert_15
Expert,15,5,0.200000,x,authoritative_multiplier_table,mode=normal_expert_15
Expert,15,6,0.100000,x,authoritative_multiplier_table,mode=normal_expert_15
Expert,15,7,0.100000,x,authoritative_multiplier_table,mode=normal_expert_15
Expert,15,8,0.100000,x,authoritative_multiplier_table,mode=normal_expert_15
Expert,15,9,0.100000,x,authoritative_multiplier_table,mode=normal_expert_15
Expert,15,10,0.200000,x,authoritative_multiplier_table,mode=normal_expert_15
Expert,15,11,1.800000,x,authoritative_multiplier_table,mode=normal_expert_15
Expert,15,12,6.000000,x,authoritative_multiplier_table,mode=normal_expert_15
Expert,15,13,230.000000,x,authoritative_multiplier_table,mode=normal_expert_15
Expert,15,14,1300.000000,x,authoritative_multiplier_table,mode=normal_expert_15
Expert,15,15,50000.000000,x,authoritative_multiplier_table,mode=normal_expert_15
Expert,16,0,100000.000000,x,authoritative_multiplier_table,mode=normal_expert_16
Expert,16,1,2200.000000,x,authoritative_multiplier_table,mode=normal_expert_16
Expert,16,2,260.000000,x,authoritative_multiplier_table,mode=normal_expert_16
Expert,16,3,7.000000,x,authoritative_multiplier_table,mode=normal_expert_16
Expert,16,4,2.500000,x,authoritative_multiplier_table,mode=normal_expert_16
Expert,16,5,1.100000,x,authoritative_multiplier_table,mode=normal_expert_16
Expert,16,6,0.100000,x,authoritative_multiplier_table,mode=normal_expert_16
Expert,16,7,0.100000,x,authoritative_multiplier_table,mode=normal_expert_16
Expert,16,8,0.100000,x,authoritative_multiplier_table,mode=normal_expert_16
Expert,16,9,0.100000,x,authoritative_multiplier_table,mode=normal_expert_16
Expert,16,10,0.100000,x,authoritative_multiplier_table,mode=normal_expert_16
Expert,16,11,1.100000,x,authoritative_multiplier_table,mode=normal_expert_16
Expert,16,12,2.500000,x,authoritative_multiplier_table,mode=normal_expert_16
Expert,16,13,7.000000,x,authoritative_multiplier_table,mode=normal_expert_16
Expert,16,14,260.000000,x,authoritative_multiplier_table,mode=normal_expert_16
Expert,16,15,2200.000000,x,authoritative_multiplier_table,mode=normal_expert_16
Expert,16,16,100000.000000,x,authoritative_multiplier_table,mode=normal_expert_16
